,ID,instrument,granularity,timestamp,volume,open,high,low,close,complete,dateYYYMMDD,timeHHMMSS,year,month,day,hour,minute,second,Closing Signal,Buying Signal,Selling Signal,Tmp01,Tmp02,Tmp03,Tmp04,Tmp05,Tmp06,Tmp07,Tmp08,Price on Open position,Price on Close position
0,EUR_USD|H1|20180827|040000,EUR_USD,H1,2018-08-27 04:00:00,1001,1.16272,1.16275,1.1619,1.16191,True,20180827,40000,2018,8,27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0
1,EUR_USD|H1|20180827|050000,EUR_USD,H1,2018-08-27 05:00:00,1182,1.16191,1.16214,1.16133,1.16191,True,20180827,50000,2018,8,27,5,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0
2,EUR_USD|H1|20180827|060000,EUR_USD,H1,2018-08-27 06:00:00,3040,1.16191,1.1625299999999998,1.15954,1.16016,True,20180827,60000,2018,8,27,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1.16191,0.0
3,EUR_USD|H1|20180827|070000,EUR_USD,H1,2018-08-27 07:00:00,2015,1.16016,1.16115,1.15971,1.16008,True,20180827,70000,2018,8,27,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1.16191,0.0
4,EUR_USD|H1|20180827|080000,EUR_USD,H1,2018-08-27 08:00:00,1975,1.16008,1.16203,1.16008,1.16103,True,20180827,80000,2018,8,27,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1.16191,0.0
5,EUR_USD|H1|20180827|090000,EUR_USD,H1,2018-08-27 09:00:00,1156,1.16103,1.16225,1.16099,1.16181,True,20180827,90000,2018,8,27,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1.16191,0.0
6,EUR_USD|H1|20180827|100000,EUR_USD,H1,2018-08-27 10:00:00,2295,1.16181,1.1621299999999999,1.16058,1.1611200000000002,True,20180827,100000,2018,8,27,10,0,0,0,0,1,0,1,0,1,0,0,0,0,1.16191,0.0
7,EUR_USD|H1|20180827|110000,EUR_USD,H1,2018-08-27 11:00:00,2028,1.1611200000000002,1.16307,1.1611,1.16298,True,20180827,110000,2018,8,27,11,0,0,1,1,0,0,1,1,0,0,0,0,1,1.16191,0.0
8,EUR_USD|H1|20180827|120000,EUR_USD,H1,2018-08-27 12:00:00,2679,1.16298,1.1644299999999999,1.16265,1.16385,True,20180827,120000,2018,8,27,12,0,0,0,0,0,1,0,0,0,1,0,0,0,1.16298,0.0
9,EUR_USD|H1|20180827|130000,EUR_USD,H1,2018-08-27 13:00:00,2908,1.16385,1.16585,1.1634,1.16493,True,20180827,130000,2018,8,27,13,0,0,1,0,1,1,0,1,0,0,0,1,0,1.16298,0.0
10,EUR_USD|H1|20180827|140000,EUR_USD,H1,2018-08-27 14:00:00,3262,1.16493,1.16755,1.16469,1.1671200000000002,True,20180827,140000,2018,8,27,14,0,0,0,1,0,0,1,0,0,0,1,0,0,1.16493,0.0
11,EUR_USD|H1|20180827|150000,EUR_USD,H1,2018-08-27 15:00:00,3373,1.1671200000000002,1.1682,1.1669200000000002,1.16767,True,20180827,150000,2018,8,27,15,0,0,0,0,0,1,0,0,0,1,0,0,0,1.1671200000000002,0.0
12,EUR_USD|H1|20180827|160000,EUR_USD,H1,2018-08-27 16:00:00,2179,1.16767,1.1692200000000001,1.16735,1.1689,True,20180827,160000,2018,8,27,16,0,0,1,0,0,1,0,1,0,0,0,1,0,1.1671200000000002,0.0
13,EUR_USD|H1|20180827|170000,EUR_USD,H1,2018-08-27 17:00:00,1242,1.1689,1.16947,1.16761,1.16781,True,20180827,170000,2018,8,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
14,EUR_USD|H1|20180827|180000,EUR_USD,H1,2018-08-27 18:00:00,889,1.16781,1.16841,1.16769,1.1679899999999999,True,20180827,180000,2018,8,27,18,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0
15,EUR_USD|H1|20180827|190000,EUR_USD,H1,2018-08-27 19:00:00,794,1.1679899999999999,1.16829,1.16771,1.16818,True,20180827,190000,2018,8,27,19,0,0,0,0,0,0,1,0,0,0,1,0,0,1.1679899999999999,0.0
16,EUR_USD|H1|20180827|200000,EUR_USD,H1,2018-08-27 20:00:00,547,1.16818,1.1686,1.16787,1.16794,True,20180827,200000,2018,8,27,20,0,0,1,0,1,0,1,1,0,0,0,0,0,1.1679899999999999,0.0
17,EUR_USD|H1|20180827|210000,EUR_USD,H1,2018-08-27 21:00:00,1813,1.16794,1.1688399999999999,1.1678600000000001,1.1680700000000002,True,20180827,210000,2018,8,27,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1679899999999999,0.0
18,EUR_USD|H1|20180827|220000,EUR_USD,H1,2018-08-27 22:00:00,606,1.1680700000000002,1.16826,1.16793,1.1681,True,20180827,220000,2018,8,27,22,0,0,0,1,0,0,1,0,0,0,0,0,0,1.1679899999999999,0.0
19,EUR_USD|H1|20180827|230000,EUR_USD,H1,2018-08-27 23:00:00,621,1.1681,1.1685,1.1678899999999999,1.1685,True,20180827,230000,2018,8,27,23,0,0,1,0,0,1,0,1,0,1,0,1,0,1.1681,0.0
20,EUR_USD|H1|20180828|000000,EUR_USD,H1,2018-08-28 00:00:00,1744,1.1685,1.16982,1.16826,1.16923,True,20180828,0,2018,8,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0
21,EUR_USD|H1|20180828|010000,EUR_USD,H1,2018-08-28 01:00:00,1836,1.16923,1.1693,1.1673200000000001,1.1678,True,20180828,10000,2018,8,28,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1.16923,0.0
22,EUR_USD|H1|20180828|020000,EUR_USD,H1,2018-08-28 02:00:00,849,1.1678,1.16785,1.1671799999999999,1.1676,True,20180828,20000,2018,8,28,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1.16923,0.0
23,EUR_USD|H1|20180828|030000,EUR_USD,H1,2018-08-28 03:00:00,639,1.1676,1.16782,1.16714,1.16751,True,20180828,30000,2018,8,28,3,0,0,0,0,1,1,0,1,0,1,0,1,0,1.1676,0.0
24,EUR_USD|H1|20180828|040000,EUR_USD,H1,2018-08-28 04:00:00,592,1.16751,1.1676799999999998,1.16701,1.16749,True,20180828,40000,2018,8,28,4,0,0,1,0,0,0,1,1,0,0,1,0,1,1.16751,0.0
25,EUR_USD|H1|20180828|050000,EUR_USD,H1,2018-08-28 05:00:00,1300,1.16749,1.16751,1.16631,1.16707,True,20180828,50000,2018,8,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
26,EUR_USD|H1|20180828|060000,EUR_USD,H1,2018-08-28 06:00:00,2204,1.16707,1.16919,1.1668399999999999,1.16895,True,20180828,60000,2018,8,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
27,EUR_USD|H1|20180828|070000,EUR_USD,H1,2018-08-28 07:00:00,4000,1.16895,1.17008,1.16796,1.16867,True,20180828,70000,2018,8,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
28,EUR_USD|H1|20180828|080000,EUR_USD,H1,2018-08-28 08:00:00,2628,1.16867,1.17002,1.16812,1.16925,True,20180828,80000,2018,8,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
29,EUR_USD|H1|20180828|090000,EUR_USD,H1,2018-08-28 09:00:00,2661,1.16925,1.17056,1.1688100000000001,1.17029,True,20180828,90000,2018,8,28,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0
30,EUR_USD|H1|20180828|100000,EUR_USD,H1,2018-08-28 10:00:00,2321,1.17029,1.17077,1.16955,1.1699,True,20180828,100000,2018,8,28,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1.17029,0.0
31,EUR_USD|H1|20180828|110000,EUR_USD,H1,2018-08-28 11:00:00,2766,1.1699,1.17185,1.16949,1.17167,True,20180828,110000,2018,8,28,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1.17029,0.0
32,EUR_USD|H1|20180828|120000,EUR_USD,H1,2018-08-28 12:00:00,3056,1.17167,1.17225,1.17057,1.1716799999999998,True,20180828,120000,2018,8,28,12,0,0,0,1,0,0,1,0,0,0,0,0,0,1.17029,0.0
33,EUR_USD|H1|20180828|130000,EUR_USD,H1,2018-08-28 13:00:00,3361,1.1716799999999998,1.17345,1.1715,1.1732200000000002,True,20180828,130000,2018,8,28,13,0,0,0,0,0,1,0,0,0,1,0,0,0,1.1716799999999998,0.0
34,EUR_USD|H1|20180828|140000,EUR_USD,H1,2018-08-28 14:00:00,4018,1.1732200000000002,1.1733,1.17035,1.17155,True,20180828,140000,2018,8,28,14,0,0,1,0,0,1,0,1,0,0,0,1,0,1.1716799999999998,0.0
35,EUR_USD|H1|20180828|150000,EUR_USD,H1,2018-08-28 15:00:00,2284,1.17155,1.17234,1.1709399999999999,1.17198,True,20180828,150000,2018,8,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
36,EUR_USD|H1|20180828|160000,EUR_USD,H1,2018-08-28 16:00:00,1535,1.17198,1.1725700000000001,1.17119,1.17185,True,20180828,160000,2018,8,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
37,EUR_USD|H1|20180828|170000,EUR_USD,H1,2018-08-28 17:00:00,1362,1.17185,1.17224,1.1711200000000002,1.17133,True,20180828,170000,2018,8,28,17,0,0,0,1,0,0,0,0,0,0,0,0,0,,0.0
38,EUR_USD|H1|20180828|180000,EUR_USD,H1,2018-08-28 18:00:00,2294,1.17133,1.17133,1.16915,1.16955,True,20180828,180000,2018,8,28,18,0,0,0,0,0,1,0,0,0,1,0,0,0,1.17133,0.0
39,EUR_USD|H1|20180828|190000,EUR_USD,H1,2018-08-28 19:00:00,1786,1.16955,1.16994,1.16915,1.1693200000000001,True,20180828,190000,2018,8,28,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1.17133,0.0
40,EUR_USD|H1|20180828|200000,EUR_USD,H1,2018-08-28 20:00:00,628,1.1693200000000001,1.16967,1.1693200000000001,1.16963,True,20180828,200000,2018,8,28,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1.17133,0.0
41,EUR_USD|H1|20180828|210000,EUR_USD,H1,2018-08-28 21:00:00,1490,1.16963,1.17002,1.16935,1.1694200000000001,True,20180828,210000,2018,8,28,21,0,0,1,0,0,1,0,1,0,0,0,1,0,1.17133,0.0
42,EUR_USD|H1|20180828|220000,EUR_USD,H1,2018-08-28 22:00:00,352,1.1694200000000001,1.16963,1.16923,1.16961,True,20180828,220000,2018,8,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
43,EUR_USD|H1|20180828|230000,EUR_USD,H1,2018-08-28 23:00:00,698,1.16961,1.16964,1.16874,1.16939,True,20180828,230000,2018,8,28,23,0,0,1,1,0,0,0,0,0,0,0,0,0,,0.0
44,EUR_USD|H1|20180829|000000,EUR_USD,H1,2018-08-29 00:00:00,1174,1.16939,1.1697600000000001,1.1684700000000001,1.16868,True,20180829,0,2018,8,29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.16939,0.0
45,EUR_USD|H1|20180829|010000,EUR_USD,H1,2018-08-29 01:00:00,895,1.16868,1.1690399999999999,1.1684299999999999,1.16849,True,20180829,10000,2018,8,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.16939,0.0
46,EUR_USD|H1|20180829|020000,EUR_USD,H1,2018-08-29 02:00:00,1032,1.16849,1.16985,1.16839,1.16924,True,20180829,20000,2018,8,29,2,0,0,0,0,1,1,0,1,0,0,0,1,0,1.16939,0.0
47,EUR_USD|H1|20180829|030000,EUR_USD,H1,2018-08-29 03:00:00,496,1.16924,1.16961,1.16906,1.1695799999999998,True,20180829,30000,2018,8,29,3,0,0,1,0,0,0,1,1,0,0,1,0,1,1.16924,0.0
48,EUR_USD|H1|20180829|040000,EUR_USD,H1,2018-08-29 04:00:00,549,1.1695799999999998,1.16972,1.1691200000000002,1.1696799999999998,True,20180829,40000,2018,8,29,4,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.0
49,EUR_USD|H1|20180829|050000,EUR_USD,H1,2018-08-29 05:00:00,2364,1.1696799999999998,1.1697,1.1674,1.16751,True,20180829,50000,2018,8,29,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1.1696799999999998,0.0
50,EUR_USD|H1|20180829|060000,EUR_USD,H1,2018-08-29 06:00:00,2937,1.16751,1.16825,1.16676,1.16687,True,20180829,60000,2018,8,29,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1.1696799999999998,0.0
