,ID,instrument,granularity,timestamp,volume,open,high,low,close,complete,dateYYYMMDD,timeHHMMSS,year,month,day,hour,minute,second
0,EUR_USD|H1|20180827|040000,EUR_USD,H1,2018-08-27 04:00:00,1001,1.16272,1.16275,1.16190,1.16191,True,20180827,040000,2018,08,27,04,00,00
1,EUR_USD|H1|20180827|050000,EUR_USD,H1,2018-08-27 05:00:00,1182,1.16191,1.16214,1.16133,1.16191,True,20180827,050000,2018,08,27,05,00,00
2,EUR_USD|H1|20180827|060000,EUR_USD,H1,2018-08-27 06:00:00,3040,1.16191,1.16253,1.15954,1.16016,True,20180827,060000,2018,08,27,06,00,00
3,EUR_USD|H1|20180827|070000,EUR_USD,H1,2018-08-27 07:00:00,2015,1.16016,1.16115,1.15971,1.16008,True,20180827,070000,2018,08,27,07,00,00
4,EUR_USD|H1|20180827|080000,EUR_USD,H1,2018-08-27 08:00:00,1975,1.16008,1.16203,1.16008,1.16103,True,20180827,080000,2018,08,27,08,00,00
5,EUR_USD|H1|20180827|090000,EUR_USD,H1,2018-08-27 09:00:00,1156,1.16103,1.16225,1.16099,1.16181,True,20180827,090000,2018,08,27,09,00,00
6,EUR_USD|H1|20180827|100000,EUR_USD,H1,2018-08-27 10:00:00,2295,1.16181,1.16213,1.16058,1.16112,True,20180827,100000,2018,08,27,10,00,00
7,EUR_USD|H1|20180827|110000,EUR_USD,H1,2018-08-27 11:00:00,2028,1.16112,1.16307,1.16110,1.16298,True,20180827,110000,2018,08,27,11,00,00
8,EUR_USD|H1|20180827|120000,EUR_USD,H1,2018-08-27 12:00:00,2679,1.16298,1.16443,1.16265,1.16385,True,20180827,120000,2018,08,27,12,00,00
9,EUR_USD|H1|20180827|130000,EUR_USD,H1,2018-08-27 13:00:00,2908,1.16385,1.16585,1.16340,1.16493,True,20180827,130000,2018,08,27,13,00,00
10,EUR_USD|H1|20180827|140000,EUR_USD,H1,2018-08-27 14:00:00,3262,1.16493,1.16755,1.16469,1.16712,True,20180827,140000,2018,08,27,14,00,00
11,EUR_USD|H1|20180827|150000,EUR_USD,H1,2018-08-27 15:00:00,3373,1.16712,1.16820,1.16692,1.16767,True,20180827,150000,2018,08,27,15,00,00
12,EUR_USD|H1|20180827|160000,EUR_USD,H1,2018-08-27 16:00:00,2179,1.16767,1.16922,1.16735,1.16890,True,20180827,160000,2018,08,27,16,00,00
13,EUR_USD|H1|20180827|170000,EUR_USD,H1,2018-08-27 17:00:00,1242,1.16890,1.16947,1.16761,1.16781,True,20180827,170000,2018,08,27,17,00,00
